id,name,iso3,phone_code,capital,currency_name,continent_id,subcontinent_id,nationality,latitude,longitude
198,Sierra Leone,SLE,232,Freetown,Sierra Leonean leone,1,3,Sierra Leonean,8.5,-11.5
199,Singapore,SGP,65,Singapur,Singapore dollar,3,13,Singaporean,1.36666666,103.8
250,Sint Maarten (Dutch part),SXM,1721,Philipsburg,Netherlands Antillean guilder,2,7,Sint Maarten,18.033333,-63.05
200,Slovakia,SVK,421,Bratislava,Euro,4,15,Slovak,48.66666666,19.5
201,Slovenia,SVN,386,Ljubljana,Euro,4,16,"Slovenian, Slovene",46.11666666,14.81666666
202,Solomon Islands,SLB,677,Honiara,Solomon Islands dollar,5,20,Solomon Island,-8.0,159.0
203,Somalia,SOM,252,Mogadishu,Somali shilling,1,4,"Somali, Somalian",10.0,49.0
204,South Africa,ZAF,27,Pretoria,South African rand,1,5,South African,-29.0,24.0
205,South Georgia,SGS,500,Grytviken,British pound,2,8,South Georgia or South Sandwich Islands,-54.5,-37.0
116,South Korea,KOR,82,Seoul,Won,3,12,South Korean,37.0,127.5
206,South Sudan,SSD,211,Juba,South Sudanese pound,1,2,South Sudanese,7.0,30.0
207,Spain,ESP,34,Madrid,Euro,4,16,Spanish,40.0,-4.0
208,Sri Lanka,LKA,94,Colombo,Sri Lankan rupee,3,14,Sri Lankan,7.0,81.0
209,Sudan,SDN,249,Khartoum,Sudanese pound,1,1,Sudanese,15.0,30.0
210,Suriname,SUR,597,Paramaribo,Surinamese dollar,2,8,Surinamese,4.0,-56.0
211,Svalbard and Jan Mayen Islands,SJM,47,Longyearbyen,Norwegian Krone,4,18,Svalbard,78.0,20.0
213,Sweden,SWE,46,Stockholm,Swedish krona,4,18,Swedish,62.0,15.0
214,Switzerland,CHE,41,Bern,Swiss franc,4,17,Swiss,47.0,8.0
215,Syria,SYR,963,Damascus,Syrian pound,3,11,Syrian,35.0,38.0
216,Taiwan,TWN,886,Taipei,New Taiwan dollar,3,12,"Chinese, Taiwanese",23.5,121.0
217,Tajikistan,TJK,992,Dushanbe,Tajikistani somoni,3,10,Tajikistani,39.0,71.0
218,Tanzania,TZA,255,Dodoma,Tanzanian shilling,1,4,Tanzanian,-6.0,35.0
219,Thailand,THA,66,Bangkok,Thai baht,3,13,Thai,15.0,100.0
17,The Bahamas,BHS,+1-242,Nassau,Bahamian dollar,2,7,Bahamian,24.25,-76.0
63,Timor-Leste,TLS,670,Dili,United States dollar,3,13,Timorese,-8.83333333,125.91666666
220,Togo,TGO,228,Lome,West African CFA franc,1,3,Togolese,8.0,1.16666666
221,Tokelau,TKL,690,,New Zealand dollar,5,22,Tokelauan,-9.0,-172.0
222,Tonga,TON,676,Nuku'alofa,Tongan paʻanga,5,22,Tongan,-20.0,-175.0
223,Trinidad and Tobago,TTO,+1-868,Port of Spain,Trinidad and Tobago dollar,2,7,Trinidadian or Tobagonian,11.0,-61.0
224,Tunisia,TUN,216,Tunis,Tunisian dinar,1,1,Tunisian,34.0,9.0
225,Turkey,TUR,90,Ankara,Turkish lira,3,11,Turkish,39.0,35.0
226,Turkmenistan,TKM,993,Ashgabat,Turkmenistan manat,3,10,Turkmen,40.0,60.0
227,Turks and Caicos Islands,TCA,+1-649,Cockburn Town,United States dollar,2,7,Turks and Caicos Island,21.75,-71.58333333
228,Tuvalu,TUV,688,Funafuti,Australian dollar,5,22,Tuvaluan,-8.0,178.0
229,Uganda,UGA,256,Kampala,Ugandan shilling,1,4,Ugandan,1.0,32.0
230,Ukraine,UKR,380,Kyiv,Ukrainian hryvnia,4,15,Ukrainian,49.0,32.0
231,United Arab Emirates,ARE,971,Abu Dhabi,United Arab Emirates dirham,3,11,"Emirati, Emirian, Emiri",24.0,54.0
232,United Kingdom,GBR,44,London,British pound,4,18,"British, UK",54.0,-2.0
233,United States,USA,1,Washington,United States dollar,2,6,American,38.0,-97.0
234,United States Minor Outlying Islands,UMI,1,,United States dollar,2,6,American,0.0,0.0
235,Uruguay,URY,598,Montevideo,Uruguayan peso,2,8,Uruguayan,-33.0,-56.0
236,Uzbekistan,UZB,998,Tashkent,Uzbekistani soʻm,3,10,"Uzbekistani, Uzbek",41.0,64.0
237,Vanuatu,VUT,678,Port Vila,Vanuatu vatu,5,20,"Ni-Vanuatu, Vanuatuan",-16.0,167.0
238,Vatican City State (Holy See),VAT,379,Vatican City,Euro,4,16,Vatican,41.9,12.45
239,Venezuela,VEN,58,Caracas,Bolívar,2,8,Venezuelan,8.0,-66.0
240,Vietnam,VNM,84,Hanoi,Vietnamese đồng,3,13,Vietnamese,16.16666666,107.83333333
241,Virgin Islands (British),VGB,+1-284,Road Town,United States dollar,2,7,British Virgin Island,18.431383,-64.62305
242,Virgin Islands (US),VIR,+1-340,Charlotte Amalie,United States dollar,2,7,U.S. Virgin Island,18.34,-64.93
243,Wallis and Futuna Islands,WLF,681,Mata Utu,CFP franc,5,22,"Wallis and Futuna, Wallisian or Futunan",-13.3,-176.2
244,Western Sahara,ESH,212,El-Aaiun,Moroccan Dirham,1,1,"Sahrawi, Sahrawian, Sahraouian",24.5,-13.0
245,Yemen,YEM,967,Sanaa,Yemeni rial,3,11,Yemeni,15.0,48.0
246,Zambia,ZMB,260,Lusaka,Zambian kwacha,1,4,Zambian,-15.0,30.0
247,Zimbabwe,ZWE,263,Harare,Zimbabwe Dollar,1,4,Zimbabwean,-20.0,30.0
